temperature_one,temperature_two,vibration_x,vibration_y,vibration_z,magnetic_flux_x,magnetic_flux_y,magnetic_flux_z,health_status
21.71,17.86,0.0,0.01,0.12,0.266,0.093,0.115,warning
22.67,18.59,0.04,0.08,0.16,0.272,0.093,0.115,warning
949.72,949.72,0.00830078,0.0268555,-1.97924,586.5,455.4,1677.15,unhealthy
22.93,18.95,0.0,0.04,0.16,0.273,0.094,0.115,warning
22.57,18.59,0.04,0.01,0.15,0.272,0.095,0.115,warning
17.96,17.96,33.0,-27.0,-1010.0,15.0,9.0,26.0,unhealthy
22.97,18.82,0.04,0.04,0.15,0.273,0.093,0.115,warning
18.03,18.03,-64.0,-38.0,-1003.0,3.0,4.0,16.0,unhealthy
22.24,18.92,0.01,0.01,0.12,0.271,0.094,0.115,healthy
22.64,18.55,0.02,0.06,0.16,0.272,0.094,0.115,healthy
22.18,18.69,0.03,0.06,0.15,0.27,0.094,0.115,warning
21.71,17.99,0.03,0.03,0.15,0.268,0.094,0.115,healthy
22.93,20.73,-10.0,117.0,975.0,13.0,1.0,43.0,unhealthy
22.6,18.55,0.03,0.04,0.12,0.271,0.093,0.115,warning
22.01,16.55,0.02,0.05,0.13,0.268,0.094,0.115,warning
22.93,18.88,0.01,0.04,0.14,0.271,0.093,0.115,warning
22.97,17.37,0.02,0.04,0.16,0.269,0.093,0.115,warning
22.64,18.59,0.0,0.03,0.16,0.271,0.094,0.115,healthy
21.29,16.12,0.03,0.01,0.15,0.266,0.093,0.115,warning
949.72,949.72,0.0302734,0.0429688,-1.99633,171.9,0.9,1083.45,unhealthy
949.72,949.72,53.2227,-44.4336,-1992.39,263.4,160.8,993.75,unhealthy
22.14,16.68,0.01,0.03,0.18,0.269,0.093,0.115,warning
22.01,18.69,0.01,0.04,0.14,0.27,0.093,0.115,warning
19.71,19.71,0.0,0.0,-0.9807,0.0,0.0,0.0,unhealthy
22.6,18.55,0.01,0.06,0.17,0.271,0.094,0.115,healthy
22.6,18.55,0.02,0.03,0.16,0.272,0.093,0.115,warning
949.72,949.72,0.0712891,-0.0258789,-1.99925,60.45,12.0,274.8,unhealthy
22.74,17.04,0.03,0.05,0.19,0.269,0.093,0.115,healthy
19.34,18.36,0.03,0.03,0.13,0.265,0.094,0.115,healthy
949.72,949.72,-2.92969,21.9727,-1003.42,586.65,343.35,1792.5,unhealthy
22.6,18.59,0.04,0.05,0.14,0.272,0.094,0.115,healthy
949.72,949.72,0.0195312,0.0405273,-1.98998,558.3,413.1,1463.55,unhealthy
22.74,18.62,0.01,0.05,0.16,0.273,0.094,0.115,warning
949.72,949.72,63.9648,-46.3867,-1992.88,262.5,157.95,994.95,unhealthy
22.64,18.55,0.04,0.03,0.12,0.271,0.094,0.115,healthy
22.6,18.55,0.01,0.01,0.16,0.272,0.094,0.115,warning
21.68,17.76,0.03,0.01,0.14,0.266,0.095,0.115,healthy
18.26,18.26,35.0,-11.0,-1017.0,13.0,10.0,26.0,unhealthy
949.72,949.72,0.0102539,0.0361328,-1.98851,561.75,412.35,1467.15,unhealthy
19.31,19.31,-5.0,-184.0,-1005.0,6.0,4.0,45.0,unhealthy
17.76,17.76,19.0,3.0,-1009.0,0.0,0.0,0.0,unhealthy
22.83,18.65,0.01,0.05,0.17,0.272,0.094,0.115,healthy
