temperature_one,temperature_two,vibration_x,vibration_y,vibration_z,magnetic_flux_x,magnetic_flux_y,magnetic_flux_z,health_status
23.56,23.56,-54.0,82.0,1014.0,10.0,0.0,47.0,unhealthy
30.8,35.3,1.25,1.73,1.36,1.46,1.9,1.43,healthy
34.4,39.4,1.11,1.82,1.61,1.65,1.5,1.05,healthy
18.36,18.36,17835600.0,80.0,969.727,2.0,0.0,8.0,unhealthy
36.6,39.0,1.84,1.62,1.97,1.62,1.64,1.36,healthy
38.4,37.5,1.34,1.63,1.22,1.58,1.89,1.74,healthy
39.3,33.8,1.39,1.26,1.84,1.43,1.4,1.69,healthy
38.4,37.3,1.63,1.83,1.99,1.47,1.94,1.42,healthy
17.96,17.96,17835500.0,101.0,963.867,2.0,0.0,8.0,unhealthy
23.39,23.39,-46.0,84.0,1014.0,10.0,0.0,47.0,unhealthy
36.2,39.7,1.39,1.73,1.84,1.38,1.09,1.36,healthy
23.56,23.56,-42.0,80.0,1026.0,10.0,0.0,47.0,unhealthy
39.4,39.3,1.37,1.21,1.15,1.93,1.72,1.3,healthy
22.93,22.01,-42.0,83.0,1016.0,10.0,0.0,47.0,unhealthy
32.3,38.6,1.43,1.58,1.33,1.11,1.74,1.14,healthy
38.3,31.0,1.28,1.61,1.47,1.55,1.33,1.8,healthy
35.8,32.6,1.62,1.96,1.34,1.9,1.63,1.96,healthy
23.39,23.39,-60.0,75.0,1021.0,10.0,0.0,47.0,unhealthy
23.49,23.49,-45.0,80.0,1021.0,10.0,0.0,47.0,unhealthy
33.4,39.8,1.8,1.02,1.55,1.85,1.57,1.28,healthy
23.53,23.53,-43.0,92.0,1025.0,10.0,0.0,47.0,unhealthy
23.53,23.53,-58.0,79.0,1021.0,10.0,0.0,47.0,unhealthy
36.7,36.4,1.84,1.96,1.51,1.59,1.85,1.47,healthy
18.03,18.03,17835600.0,68.0,931.641,2.0,0.0,8.0,unhealthy
18.03,18.03,17835600.0,95.0,952.637,2.0,0.0,8.0,unhealthy
38.5,38.8,1.76,1.0,1.3,1.78,1.28,1.35,healthy
17.8,17.8,17835600.0,84.0,975.098,2.0,0.0,8.0,unhealthy
23.46,23.46,-59.0,75.0,1011.0,10.0,0.0,47.0,unhealthy
36.6,30.7,1.2,1.31,1.16,1.75,1.65,1.4,healthy
22.83,22.01,-52.0,89.0,1010.0,10.0,0.0,47.0,unhealthy
35.0,32.9,1.0,1.71,1.0,1.64,1.14,1.69,healthy
34.6,38.6,1.49,1.53,1.79,1.98,1.46,1.69,healthy
23.46,23.46,-49.0,84.0,1023.0,10.0,0.0,47.0,unhealthy
35.4,39.1,1.88,1.76,1.22,1.66,1.91,1.1,healthy
23.36,23.36,-61.0,81.0,1025.0,10.0,0.0,47.0,unhealthy
36.0,37.3,1.51,1.99,1.94,1.49,1.8,1.74,healthy
37.1,34.1,1.11,1.38,1.56,1.92,1.07,1.06,healthy
23.56,23.56,-57.0,76.0,1024.0,10.0,0.0,47.0,unhealthy
18.19,18.19,17835600.0,105.0,940.43,2.0,0.0,8.0,unhealthy
38.9,35.4,1.31,1.94,1.56,1.69,1.24,1.42,healthy
23.53,23.53,-57.0,83.0,1021.0,10.0,0.0,47.0,unhealthy
23.46,23.46,-48.0,73.0,1016.0,10.0,0.0,47.0,unhealthy
17.9,17.9,17835600.0,90.0,939.453,2.0,0.0,8.0,unhealthy
18.42,18.42,17835600.0,102.0,942.383,2.0,0.0,8.0,unhealthy
37.9,31.0,1.71,1.13,1.59,1.51,1.64,1.44,healthy
23.49,23.49,-57.0,69.0,1023.0,10.0,0.0,47.0,unhealthy
22.83,22.04,-52.0,89.0,1010.0,10.0,0.0,47.0,unhealthy
23.56,23.56,-50.0,76.0,1020.0,10.0,0.0,47.0,unhealthy
23.53,23.53,-54.0,78.0,1022.0,10.0,0.0,47.0,unhealthy
37.2,31.0,1.54,1.25,1.29,1.89,1.2,1.97,healthy
34.2,32.8,1.42,1.24,1.55,1.96,1.73,1.58,healthy
23.46,23.46,-55.0,83.0,1022.0,10.0,0.0,47.0,unhealthy
23.62,23.62,-54.0,80.0,1022.0,10.0,0.0,47.0,unhealthy
37.0,38.1,1.04,1.61,1.66,1.41,1.1,1.0,healthy
22.87,22.01,-34.0,89.0,1016.0,10.0,0.0,47.0,unhealthy
35.2,37.4,1.53,1.56,1.11,1.76,1.61,1.25,healthy
23.56,23.56,-50.0,73.0,1016.0,10.0,0.0,47.0,unhealthy
37.3,39.0,1.07,1.84,1.33,1.93,1.03,1.86,healthy
18.39,18.39,17835600.0,101.0,977.539,2.0,0.0,8.0,unhealthy
23.62,23.62,-54.0,80.0,1022.0,10.0,0.0,47.0,unhealthy
32.7,34.4,1.98,1.65,1.29,1.44,1.56,1.23,healthy
35.4,37.6,1.03,1.03,1.45,1.05,1.81,1.62,healthy
37.5,33.7,1.05,1.54,1.14,1.13,1.54,1.09,healthy
39.2,33.6,1.67,1.87,1.4,1.76,1.57,1.93,healthy
31.5,34.6,1.38,1.4,1.45,1.81,1.9,1.64,healthy
34.0,31.8,1.96,1.36,1.95,1.11,1.81,1.41,healthy
38.8,35.1,1.36,1.39,1.27,1.44,1.47,1.69,healthy
35.7,32.8,1.4,1.53,1.03,1.46,1.63,1.17,healthy
18.49,18.49,17835600.0,103.0,930.176,2.0,0.0,9.0,unhealthy
34.2,37.3,1.68,1.76,1.52,1.57,1.98,1.42,healthy
18.36,18.36,17835600.0,94.0,958.496,2.0,0.0,8.0,unhealthy
34.0,32.0,1.11,1.49,1.5,1.91,1.96,1.76,healthy
18.09,18.09,17835500.0,91.0,955.566,2.0,0.0,8.0,unhealthy
18.16,18.16,17835600.0,105.0,940.43,2.0,0.0,8.0,unhealthy
34.7,31.4,1.08,1.12,1.55,1.22,1.07,1.2,healthy
37.7,36.1,1.16,1.37,1.6,1.54,1.07,1.81,healthy
23.33,23.33,-48.0,74.0,1021.0,10.0,0.0,47.0,unhealthy
37.8,37.4,1.51,1.61,1.06,1.35,1.93,1.72,healthy
34.3,31.1,1.97,1.53,1.2,1.46,1.67,1.97,healthy
39.8,30.7,1.45,1.31,1.21,1.52,1.36,1.71,healthy
34.6,36.9,1.95,1.4,1.84,1.96,1.66,1.7,healthy
34.9,36.2,1.98,1.46,1.4,1.08,1.51,1.38,healthy
32.7,32.9,1.12,1.72,1.18,1.03,1.13,1.37,healthy
30.0,37.0,1.63,1.24,1.22,1.54,1.56,1.38,healthy
39.9,37.1,1.99,1.88,1.92,1.39,1.8,1.01,healthy
38.6,35.2,1.69,1.2,1.95,1.3,1.46,1.29,healthy
23.59,23.59,-52.0,73.0,1019.0,10.0,0.0,47.0,unhealthy
23.39,23.39,-54.0,94.0,1014.0,10.0,0.0,47.0,unhealthy
34.4,30.9,1.7,1.28,1.79,1.53,1.65,1.9,healthy
35.6,38.7,1.15,1.68,1.9,1.95,1.65,1.81,healthy
33.7,37.8,1.97,1.8,1.13,1.21,1.44,1.09,healthy
23.49,23.49,-45.0,80.0,1021.0,10.0,0.0,47.0,unhealthy
23.39,23.39,-50.0,82.0,1025.0,10.0,0.0,47.0,unhealthy
23.49,23.49,-58.0,79.0,1021.0,10.0,0.0,47.0,unhealthy
22.83,22.01,-52.0,89.0,1010.0,10.0,0.0,47.0,unhealthy
23.56,23.56,-54.0,82.0,1014.0,10.0,0.0,47.0,unhealthy
23.39,23.39,-54.0,82.0,1026.0,10.0,0.0,47.0,unhealthy
23.46,23.46,-61.0,75.0,1025.0,10.0,0.0,47.0,unhealthy
30.6,33.1,1.09,1.07,1.39,1.8,1.5,1.87,healthy
34.5,35.0,1.88,1.46,1.09,1.7,1.14,1.65,healthy
34.3,35.2,1.4,1.96,1.56,1.86,1.51,1.72,healthy
37.5,30.8,1.25,1.17,1.66,1.17,1.81,1.74,healthy
32.1,36.7,1.66,1.04,1.76,1.11,1.66,1.78,healthy
18.45,18.45,17835600.0,109.0,976.074,2.0,0.0,9.0,unhealthy
39.1,31.4,1.65,1.48,1.56,1.13,1.68,1.77,healthy
33.8,35.9,1.55,1.81,1.31,1.77,1.93,1.89,healthy
38.0,35.3,1.33,1.14,1.89,1.8,1.23,1.14,healthy
30.6,35.5,1.84,1.91,1.63,1.95,1.44,1.94,healthy
23.16,23.16,-56.0,73.0,1036.0,10.0,0.0,47.0,unhealthy
23.49,23.49,-58.0,79.0,1021.0,10.0,0.0,47.0,unhealthy
23.56,23.56,-46.0,77.0,1024.0,10.0,0.0,47.0,unhealthy
35.3,37.3,1.58,1.94,1.06,1.62,1.99,1.01,healthy
23.49,23.49,-59.0,75.0,1011.0,10.0,0.0,47.0,unhealthy
33.8,39.1,1.58,1.61,1.15,1.63,1.66,1.07,healthy
37.7,30.3,1.96,1.02,1.65,1.75,1.35,1.48,healthy
33.1,32.3,1.15,1.48,1.65,1.25,1.89,1.23,healthy
38.1,39.2,1.75,1.33,1.43,1.86,1.72,1.41,healthy
18.13,18.13,17835600.0,104.0,996.582,2.0,0.0,8.0,unhealthy
23.53,23.53,-52.0,83.0,1020.0,10.0,0.0,47.0,unhealthy
38.2,36.4,1.76,1.63,1.84,1.72,1.29,1.74,healthy
18.26,18.26,17835600.0,101.0,979.98,2.0,0.0,8.0,unhealthy
32.5,31.8,1.8,1.66,1.17,1.58,1.38,1.89,healthy
22.93,22.01,-42.0,83.0,1016.0,10.0,0.0,47.0,unhealthy
38.6,34.6,1.16,1.04,1.75,1.48,1.0,1.26,healthy
33.6,33.0,1.64,1.78,1.52,1.94,1.91,1.1,healthy
23.46,23.46,-51.0,90.0,1022.0,10.0,0.0,47.0,unhealthy
22.9,22.01,-47.0,89.0,1023.0,10.0,0.0,47.0,unhealthy
23.39,23.39,-56.0,69.0,1016.0,10.0,0.0,47.0,unhealthy
18.13,18.13,17835600.0,88.0,931.641,2.0,0.0,8.0,unhealthy
37.4,32.2,1.3,1.9,1.26,1.54,1.45,1.03,healthy
31.6,37.7,1.36,1.44,1.09,1.34,1.6,1.32,healthy
35.3,39.8,1.37,1.21,1.36,1.38,1.16,1.95,healthy
18.09,18.09,17835600.0,106.0,980.469,2.0,0.0,8.0,unhealthy
23.13,23.13,-38.0,90.0,1004.0,10.0,0.0,47.0,unhealthy
34.3,39.9,1.67,1.9,1.65,1.05,1.24,1.67,healthy
36.2,34.3,1.15,1.74,1.94,1.49,1.56,1.61,healthy
36.7,35.4,1.93,1.14,1.59,1.38,1.85,1.81,healthy
31.8,35.2,1.12,1.45,1.34,1.7,1.85,1.56,healthy
18.45,18.45,17835600.0,109.0,976.074,2.0,0.0,9.0,unhealthy
36.5,31.5,1.48,1.05,1.87,1.06,1.17,1.29,healthy
32.3,35.7,1.3,1.22,1.76,1.98,1.17,1.82,healthy
22.93,22.04,-68.0,88.0,1029.0,10.0,0.0,47.0,unhealthy
32.5,31.2,1.91,1.5,1.78,1.39,1.16,1.23,healthy
17.83,17.83,17835500.0,108.0,937.012,2.0,0.0,8.0,unhealthy
23.56,23.56,-54.0,82.0,1014.0,10.0,0.0,47.0,unhealthy
37.6,30.4,1.7,1.47,1.1,1.72,1.17,1.12,healthy
35.8,38.0,1.53,1.33,1.7,1.13,1.31,1.08,healthy
18.13,18.13,17835600.0,99.0,955.078,2.0,0.0,8.0,unhealthy
17.86,17.86,17835600.0,78.0,935.059,2.0,0.0,8.0,unhealthy
17.8,17.8,17835600.0,86.0,994.141,2.0,0.0,8.0,unhealthy
35.2,36.8,1.99,1.99,1.72,1.78,1.58,1.35,healthy
37.8,36.0,1.84,1.86,2.0,1.75,1.77,1.01,healthy
23.36,23.36,-56.0,81.0,1039.0,10.0,0.0,47.0,unhealthy
17.93,17.93,17835600.0,91.0,980.469,2.0,0.0,8.0,unhealthy
30.0,32.4,1.69,1.02,1.41,1.26,1.01,1.39,healthy
23.53,23.53,-43.0,92.0,1025.0,10.0,0.0,47.0,unhealthy
36.2,39.4,1.42,1.62,1.07,1.76,1.14,1.48,healthy
18.36,18.36,17835600.0,118.0,957.52,2.0,0.0,8.0,unhealthy
