temperature_one,temperature_two,vibration_x,vibration_y,vibration_z,magnetic_flux_x,magnetic_flux_y,magnetic_flux_z,ultra_sound,audible_sound,health_status
22.83,20.73,-3,112,967,13,1,43,0.0198559,34.0422,unhealthy
22.83,20.73,-3,112,967,13,1,43,0.00413665,47.667,unhealthy
22.83,20.73,-3,112,967,13,1,43,0.0339205,29.3908,unhealthy
22.83,20.73,-3,112,967,13,1,43,0.0173739,35.202,unhealthy
22.83,20.73,-13,121,974,13,1,43,0.00413665,47.667,unhealthy
22.83,20.76,-13,121,974,13,1,43,0.0057913,44.7445,unhealthy
22.83,20.76,-13,121,974,13,1,43,0.0165466,35.6258,unhealthy
22.83,20.76,-13,121,974,13,1,43,0.00330932,49.6052,unhealthy
22.83,20.76,-13,121,974,13,1,43,0.0215106,33.347,unhealthy
22.83,20.76,-13,121,974,13,1,43,0.0165466,35.6258,unhealthy
22.83,20.76,-13,121,974,13,1,43,0.0148919,36.541,unhealthy
22.83,20.73,-13,121,974,13,1,43,0.00248199,52.104,unhealthy
22.83,20.73,-13,121,974,13,1,43,0.000827329,61.6464,unhealthy
22.83,20.73,-13,121,974,13,1,43,0.00496397,46.0834,unhealthy
22.83,20.73,-13,121,974,13,1,43,0.0173739,35.202,unhealthy
22.83,20.73,-13,121,974,13,1,43,0.0140646,37.0375,unhealthy
22.83,20.73,-13,121,974,13,1,43,0.00165466,55.6258,unhealthy
22.87,20.76,-13,121,974,13,1,43,0.000827329,61.6464,unhealthy
22.87,20.76,-13,121,974,13,1,43,0.00165466,55.6258,unhealthy
22.87,20.76,-13,121,974,13,1,43,0.0223379,33.0192,unhealthy
22.87,20.73,-13,121,974,13,1,43,0.000827329,61.6464,unhealthy
22.87,20.73,-13,121,974,13,1,43,0.0140646,37.0375,unhealthy
22.87,20.73,-13,121,974,13,1,43,0.0173739,35.202,unhealthy
22.87,20.73,-13,121,974,13,1,43,0.00248199,52.104,unhealthy
22.87,20.73,-13,121,974,13,1,43,0.00165466,55.6258,unhealthy
22.87,20.73,-13,121,974,13,1,43,0.0182012,34.798,unhealthy
22.87,20.76,-13,121,974,13,1,43,0.0173739,35.202,unhealthy
22.87,20.76,-13,121,974,13,1,43,0.0182012,34.798,unhealthy
22.87,20.76,-13,121,974,13,1,43,0.000827329,61.6464,unhealthy
22.87,20.76,-13,121,974,13,1,43,0.00661863,43.5846,unhealthy
22.87,20.76,-13,121,974,13,1,43,0.00330932,49.6052,unhealthy
22.87,20.76,-13,121,974,13,1,43,0.00413665,47.667,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.0206832,33.6876,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.0057913,44.7445,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.0057913,44.7445,unhealthy
22.87,20.73,-13,121,974,13,1,43,0.0215106,33.347,unhealthy
22.87,20.73,-13,121,974,13,1,43,0.00496397,46.0834,unhealthy
22.87,20.73,-13,121,974,13,1,43,0.00744596,42.5616,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.0057913,44.7445,unhealthy
22.87,20.73,-13,121,974,13,1,43,0.0165466,35.6258,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.0148919,36.541,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.00330932,49.6052,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.0190286,34.4119,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.00330932,49.6052,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.00496397,46.0834,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.0190286,34.4119,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.0140646,37.0375,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.0165466,35.6258,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.00248199,52.104,unhealthy
22.9,20.69,-13,121,974,13,1,43,0.0198559,34.0422,unhealthy
22.9,20.69,-13,121,974,13,1,43,0.000827329,61.6464,unhealthy
22.9,20.69,-13,121,974,13,1,43,0.0198559,34.0422,unhealthy
22.87,20.69,-13,121,974,13,1,43,0.0231652,32.7033,unhealthy
22.87,20.69,-13,121,974,13,1,43,0.0182012,34.798,unhealthy
22.87,20.69,-13,121,974,13,1,43,0.0190286,34.4119,unhealthy
22.9,20.69,-13,121,974,13,1,43,0.0057913,44.7445,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.00661863,43.5846,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.000827329,61.6464,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.0148919,36.541,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.0182012,34.798,unhealthy
22.9,20.73,-13,121,974,13,1,43,0.0190286,34.4119,unhealthy
22.93,20.73,-4,112,969,13,1,43,0.00496397,46.0834,unhealthy
22.93,20.73,-4,112,969,13,1,43,0.0140646,37.0375,unhealthy
22.93,20.73,-4,112,969,13,1,43,0.00496397,46.0834,unhealthy
22.9,20.73,-4,112,969,13,1,43,0.0157193,36.0714,unhealthy
22.9,20.73,-4,112,969,13,1,43,0.00330932,49.6052,unhealthy
22.9,20.73,-4,112,969,13,1,43,0.0148919,36.541,unhealthy
22.9,20.73,-4,112,969,13,1,43,0.0157193,36.0714,unhealthy
22.9,20.73,-4,112,969,13,1,43,0.00413665,47.667,unhealthy
22.9,20.73,-4,112,969,13,1,43,0.00330932,49.6052,unhealthy
22.93,20.73,-4,112,969,13,1,43,0.000827329,61.6464,unhealthy
22.93,20.73,-4,112,969,13,1,43,0.00413665,47.667,unhealthy
22.93,20.73,-4,112,969,13,1,43,0.0372298,28.5822,unhealthy
22.9,20.66,-4,112,969,13,1,43,0.0140646,37.0375,unhealthy
22.9,20.73,-4,112,969,13,1,43,0.00248199,52.104,unhealthy
22.9,20.73,-4,112,969,13,1,43,0.00661863,43.5846,unhealthy
22.9,20.73,-4,112,969,13,1,43,0.0190286,34.4119,unhealthy
22.9,20.73,-4,112,969,13,1,43,0.0206832,33.6876,unhealthy
22.9,20.73,-4,112,969,13,1,43,0.00165466,55.6258,unhealthy
22.9,20.73,-4,112,969,13,1,43,0.0206832,33.6876,unhealthy
22.93,20.73,-4,112,969,13,1,43,0.00744596,42.5616,unhealthy
22.93,20.73,-4,112,969,13,1,43,0.0157193,36.0714,unhealthy
22.93,20.73,-4,112,969,13,1,43,0.0140646,37.0375,unhealthy
22.93,20.73,-4,112,969,13,1,43,0.0057913,44.7445,unhealthy
22.93,20.73,-4,112,969,13,1,43,0.0148919,36.541,unhealthy
22.93,20.73,-8,112,974,13,1,43,0.0182012,34.798,unhealthy
22.93,20.73,-11,123,968,0,0,0,0.0057913,44.7445,unhealthy
22.93,20.73,-11,123,968,0,0,0,0.0140646,37.0375,unhealthy
22.93,20.73,-11,123,968,0,0,0,0.00827329,41.6464,unhealthy
22.93,20.73,-11,123,968,0,0,0,0.0206832,33.6876,unhealthy
22.93,20.73,-11,123,968,0,0,0,0.0190286,34.4119,unhealthy
22.93,20.73,-11,123,968,0,0,0,0.0148919,36.541,unhealthy
22.93,20.73,-11,123,968,0,0,0,0.0198559,34.0422,unhealthy
22.93,20.73,-11,123,968,0,0,0,0.000827329,61.6464,unhealthy
22.93,20.76,-11,123,968,0,0,0,0.00165466,55.6258,unhealthy
22.93,20.73,-10,117,975,13,1,43,0.0206832,33.6876,unhealthy
22.93,20.73,-10,117,975,13,1,43,0.00165466,55.6258,unhealthy
22.93,20.73,-10,117,975,13,1,43,0.00330932,49.6052,unhealthy
22.93,20.73,-10,117,975,13,1,43,0.00248199,52.104,unhealthy
22.93,20.73,-10,117,975,13,1,43,0.00248199,52.104,unhealthy
23.06,23.06,-11,119,974,13,1,43,0,42.5616,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,34.4119,unhealthy
23.06,23.06,-11,119,974,13,1,43,0,37.564,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,47.667,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,43.5846,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,47.667,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,36.541,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,44.7445,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,44.7445,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,36.541,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,55.6258,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,36.0714,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,35.6258,unhealthy
23.03,23.03,-5,104,969,13,1,43,0,47.667,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,36.0714,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,61.6464,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,61.6464,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,35.6258,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,34.4119,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,55.6258,unhealthy
23.1,23.1,-5,104,969,13,1,43,0,34.798,unhealthy
23.1,23.1,-5,104,969,13,1,43,0,35.6258,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,42.5616,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,47.667,unhealthy
23.06,23.06,-5,104,969,13,1,43,0,36.0714,unhealthy
23.1,23.1,-5,104,969,13,1,43,0,36.0714,unhealthy
23.1,23.1,-5,104,969,13,1,43,0,46.0834,unhealthy
23.1,23.1,-5,104,969,13,1,43,0,42.5616,unhealthy
23.06,23.06,-16,121,971,13,1,43,0,52.104,unhealthy
23.06,23.06,-16,121,971,13,1,43,0,36.0714,unhealthy
23.06,23.06,-16,121,971,13,1,43,0,49.6052,unhealthy
23.1,23.1,-16,121,971,13,1,43,0,41.6464,unhealthy
23.1,23.1,-16,121,971,13,1,43,0,34.4119,unhealthy
23.1,23.1,-16,121,971,13,1,43,0,34.798,unhealthy
23.1,23.1,-16,121,971,13,1,43,0,35.6258,unhealthy
23.13,23.13,-5,108,972,15,1,43,0,61.6464,unhealthy
23.13,23.13,-5,108,972,15,1,43,0,34.798,unhealthy
23.16,23.16,-3,115,962,15,1,43,0,37.564,unhealthy
23.16,23.16,-3,115,962,15,1,43,0,33.0192,unhealthy
23.16,23.16,-3,115,962,15,1,43,0,37.0375,unhealthy
23.16,23.16,-3,115,962,15,1,43,0,34.798,unhealthy
23.16,23.16,-12,107,968,15,1,43,0,34.4119,unhealthy
23.16,23.16,-12,107,968,15,1,43,0,35.202,unhealthy
23.13,23.13,-5,117,977,15,1,43,0,44.7445,unhealthy
23.13,23.13,-5,117,977,15,1,43,0,52.104,unhealthy
23.13,23.13,-5,117,977,15,1,43,0,55.6258,unhealthy
23.16,23.16,-5,117,977,15,1,43,0,61.6464,unhealthy
23.16,23.16,-5,117,977,15,1,43,0,34.798,unhealthy
23.16,23.16,-5,117,977,15,1,43,0,47.667,unhealthy
23.2,23.2,-5,117,977,15,1,43,0,52.104,unhealthy
23.2,23.2,-5,117,977,15,1,43,0,61.6464,unhealthy
23.2,23.2,-5,117,977,15,1,43,0,49.6052,unhealthy
23.16,23.16,-5,117,977,15,1,43,0,37.0375,unhealthy
23.16,23.16,-5,117,977,15,1,43,0,34.798,unhealthy
23.16,23.16,-5,117,977,15,1,43,0,43.5846,unhealthy
23.16,23.16,-5,117,977,15,1,43,0,55.6258,unhealthy
23.16,23.16,-5,117,977,15,1,43,0,34.798,unhealthy
23.16,23.16,-5,117,977,15,1,43,0,42.5616,unhealthy
23.2,23.2,-5,117,977,15,1,43,0,47.667,unhealthy
23.2,23.2,-5,117,977,15,1,43,0,46.0834,unhealthy
23.2,23.2,-5,117,977,15,1,43,0,35.202,unhealthy
23.16,23.16,-5,117,977,15,1,43,0,34.4119,unhealthy
23.16,23.16,-5,117,977,15,1,43,0,61.6464,unhealthy
23.16,23.16,-5,117,977,15,1,43,0,44.7445,unhealthy
23.2,23.2,-5,117,977,15,1,43,0,42.5616,unhealthy
23.2,23.2,-5,117,977,15,1,43,0,36.541,unhealthy
23.2,23.2,-5,117,977,15,1,43,0,35.6258,unhealthy
23.2,23.2,-5,117,977,15,1,43,0,34.0422,unhealthy
23.2,23.2,-5,117,977,15,1,43,0,37.0375,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,55.6258,unhealthy
23.16,23.16,-14,116,972,15,1,43,0,41.6464,unhealthy
23.16,23.16,-14,116,972,15,1,43,0,37.0375,unhealthy
23.16,23.16,-14,116,972,15,1,43,0,52.104,unhealthy
23.16,23.16,-14,116,972,15,1,43,0,33.0192,unhealthy
23.16,23.16,-14,116,972,15,1,43,0,52.104,unhealthy
23.16,23.16,-14,116,972,15,1,43,0,34.0422,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,34.0422,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,42.5616,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,35.202,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,43.5846,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,29.8251,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,52.104,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,47.667,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,42.5616,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,34.0422,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,41.6464,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,52.104,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,49.6052,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,36.0714,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,52.104,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,43.5846,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,52.104,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,36.0714,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,36.0714,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,35.6258,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,36.541,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,34.4119,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,55.6258,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,43.5846,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,49.6052,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,61.6464,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,32.104,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,46.0834,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,35.6258,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,34.0422,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,52.104,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,34.0422,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,33.0192,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,36.541,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,34.798,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,42.5616,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,37.564,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,34.4119,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,37.564,unhealthy
23.2,23.2,-14,116,972,15,1,43,0,36.0714,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,35.6258,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,46.0834,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,43.5846,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,37.564,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,37.564,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,35.6258,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,55.6258,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,37.0375,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,35.202,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,34.798,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,33.0192,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,34.798,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,44.7445,unhealthy
23.23,23.23,-14,116,972,15,1,43,0,33.347,unhealthy
